id;street_address;postal_code;city;state_province
1;meager from;zowie;Port Lauretta;so
2;footage;midst;Ritchiecester;naturally like indeed
3;whereas;onto;Lake Scottyhaven;exhale
4;mostly pace;sleepily down following;North Marian;circa courageously
5;point meaty rowdy;through however naughty;Davisview;inability qualification frosty
6;hungrily;outnumber gracious urgently;East Stefanstead;dissect
7;even wild;verifiable;Harveyboro;decimalise except peach
8;core prosperity;butcher unless mid;Paterson;founder
9;wherever cuddly hobby;instead productive;South Jewellfield;by meh
10;raft chief;upbeat anti innocently;Zackeryland;until lest energetically
